de,en
giftig,poisonous(ly)
im Freien,in the outdoors
die Haut (Singular),skin
"das Insekt, -en",insect
der Insektenschutz (Singular),insect repellent
"das Netz, -e",net
"der Pilz, -e","mushroom, toadstool"
der Schutz (Singular),protection
übernachten,to spend the night
"die Abneigung, -en","dislike, aversion"
"das Boot, -e",boat
erholsam,"relaxing, refreshing"
frustriert,frustrated(ly)
der Harz (Gebirge in Deutschland),Harz Mountains (Mountains in Germany)
langweilen (sich),to be bored
die Ruhe (Singular),"quiet, rest"
"der Urlaubsgruß, Urlaubsgrüße",greeting from vacation
buchen,to book
eben (Das ist eben nicht leicht.),here: just (It’s just not so easy.)
irgendwo,somewhere
"losfahren (fährt los, fuhr los, ist losgefahren)","to get going, to drive off"
spontan,spontaneous(ly)
die Urlaubsplanung (Singular),vacation planning
"der Urlaubstyp, -en",vacation type
"das Urlaubsziel, -e",vacation destination
erholen (sich),"to recover, relax"
"der Feierabend, -e","end of work, closing time"
"der Skype-Dialog, -e",Skype dialogue
sorry,sorry
aktiv,active(ly)
"begegnen (begegnet, begegnete, ist begegnet)",to encounter
entspannend,relaxing
faulenzen,to loaf around
inklusive,"inclusive of, including"
"die Kreuzfahrt, -en",cruise
"das Wellnesshotel, -s",spa hotel
"der Stopp, -s (In Berlin legen wir einen Stopp ein.)",stop (We’re having a stop in Berlin.)
"die Fahrt, -en","drive, ride"
"der Flug, Flüge",flight
inbegriffen,included
die Vollpension (Singular),"full board, meals included"
"zwar (Ich möchte eine Reise buchen, und zwar nach Spanien.)",here: namely (I’d like to book a trip (namely) to Spain.)
ausruhen (sich),to take a rest
beraten,to advise
bügeln,to iron
das Kinderland (Singular),kids zone
nutzen,"to use, take advantage of"
pur,pure(ly)
reinigen,"to clean, launder"
"der Top-Koch, Top-Köche",top chef (m.)
verwöhnen,"to spoil, pamper"
der Luxus (Singular),luxury
"der Bescheid, -e (Bescheid sagen) (Wir wissen Bescheid.)","here: clue, idea (to let s.o. know) (We know for sure.)"
"die Bewertung, -en","assessment, valuation"
immerhin,after all
kulinarisch,"culinary, culinarily"
der Dusel (Singular),"luck, fluke"
"der Massel, -s","pig, here: luck"
"wiederbekommen (bekommt wieder, bekam wieder, hat wiederbekommen)",to get back
erleichtert,relieved
"erschrecken (erschrickt, erschrak, ist erschrocken)",to become scared
"der Flugbegleiter, -",flight attendant (m.)
"das Gepäckfach, Gepäckfächer",luggage compartment
"die Passkontrolle, -n",passport control
"die Sitzreihe, -n",seating row
verhaften,to arrest
"verlegen (Er war verlegen, weil sie so nett zu ihm war.)",embarrassed (He was embarrassed because she was so nice to him.)
verzweifelt,desperate(ly)
"die Botschaft, -en",embassy
"die Grenze, -n",border
"das Konsulat, -e",consulate
"das Visum, Visa",visa
der Zoll (Singular),customs
"der Ausgang, Ausgänge",exit
diktieren,to dictate
das Essen (Singular),food
"das Gepäckband, Gepäckbänder",luggage carousel
"die Alm, -en","meadow, high altitude pasture"
"der Almsommer, -",Alpine summer
"der Almurlaub, -e",Alpine vacation
"das Ehepaar, -e",married couple
eher,"rather, quite"
die Einsamkeit (Singular),here: solitude
erholt,recovered
falls,in case
"fassen (Ich kann es kaum fassen, morgen fahre ich schon nach Hause.)",here: to believe (I can hardly believe that I’m going home tomorrow.)
freuen (sich) (auf + Akk.) (Ich freue mich auf den Urlaub.),to look forward to (I’m looking forward to my holidays.)
"die Käserei, -en",cheesemaking factory
"melken (melkt, melkte, hat gemolken)",to milk
"mithelfen (hilft mit, half mit, hat mitgeholfen)",to help s.o.
"der Rückblick, -e","review, look back"
"der Sonnenaufgang, Sonnenaufgänge",sunrise
"der Wanderer, -","hiker, walker, wanderer"
"die Weide, -n",pasture
"der Wunderkräutertee, -s",miracle herbal tea
"zurückgehen (geht zurück, ging zurück, ist zurückgegangen) (Es geht zurück nach Hause.)",to go back (He’s going back home.)
"der Almaufenthalt, -e",Alpine visit
mitarbeiten,"to work together, to work with s.o."
"die Einparkhilfe, -n",parking sensor
"das Hawk-Eye, -s",hawk eye
"die Kassette, -n",cassette
"der Kopfhörer, -",headphones
"die Neuerung, -en",innovation
"der Schiedsrichter, -",referee
technisch,technical(ly)
"der Türöffner, -",door opener
"der Walkman, -s","walkman, portable cassette player"
"der Zahlencode, -s",numerical code
"die Zeitschaltuhr, -en",timer
das Aus (Singular),here: out of bounds
dabei,here: considering
darum (Ich habe nicht aufgepasst. Darum habe ich mein Handy verloren.),"that’s why (I didn’t pay attention, that’s why I lost my call phone.)"
"der Gegner, -",opponent
das Muss (Singular),must
schauen,to look
"das Taschenbuch, Taschenbücher",paperback
unfair,unfair
"der CD-Player, -",CD player
die Jugend (Singular),youth
seitdem,since then
ersetzen,to replace
"der Akku, -s",battery
"ausgehen (geht aus, ging aus, ist ausgegangen)","to run out, go out"
"der Erfahrungsbericht, -e",field report
"die Funktion, -en",function
"die Kaufentscheidung, -en",purchasing decision
"der Elektronikmarkt, Elektronikmärkte",electronics store
elektronisch,electronic(ally)
"die Fachzeitschrift, -en",trade journal
"der Freundeskreis, -e",circle of friends
"die Kundenbewertung, -en",customer review
"der Markt, Märkte",market
"das Sonderangebot, -e",special offer
"der Testbericht, -e",review
"der Werbeprospekt, -e",advertising brochure
"die Münze, -n",coin
"werfen (wirft, warf, hat geworfen)","to throw, toss"
senden,to send
einsetzen,"to use, employ, install"
"die Garantie, -n",guarantee
gebrauchen (So kann ich das Gerät nicht gebrauchen.),to use (I can’t use this thing as it is.)
"laden (lädt, lud, hat geladen)","to load, charge"
verärgert,angry
